Ending Value,Non-permanent resident types,Non-PR greater than 52000,Period,Province,Quarters,Start Value,Years,Increase in Permit Holders,Max_NonPR_Type,Total Work Permit Holders,Values
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ3,Quebec,Q3,,01-01-2021,,49933,49933,49933
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ3,Quebec,Q3,,01-01-2021,,423,423,423
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ3,Quebec,Q3,,01-01-2021,,1735,1735,1735
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ3,Quebec,Q3,,01-01-2021,,29991,29991,29991
,"Total, permit holders and their family members","Total, permit holders and their family members",2021-01-01QQ3,Quebec,Q3,,01-01-2021,,201505,201505,201505
,Work permit holders only,Work permit holders only,2021-01-01QQ3,Quebec,Q3,,01-01-2021,,109389,109389,109389
,Study permit holders only,,2021-01-01QQ3,Quebec,Q3,,01-01-2021,,49716,49716,49716
,Work and study permit holders,,2021-01-01QQ3,Quebec,Q3,,01-01-2021,,30032,30032,30032
,Other,,2021-01-01QQ3,Quebec,Q3,,01-01-2021,,12368,12368,12368
,"Total, non-permanent residents",,2021-01-01QQ3,Manitoba,Q3,,01-01-2021,,35588,35588,35588
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ3,Manitoba,Q3,,01-01-2021,,1717,1717,1717
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ3,Manitoba,Q3,,01-01-2021,,1230,1230,1230
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ3,Manitoba,Q3,,01-01-2021,,17,17,17
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ3,Manitoba,Q3,,01-01-2021,,32,32,32
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ3,Manitoba,Q3,,01-01-2021,,438,438,438
,"Total, permit holders and their family members",,2021-01-01QQ3,Manitoba,Q3,,01-01-2021,,33871,33871,33871
,Work permit holders only,,2021-01-01QQ3,Manitoba,Q3,,01-01-2021,,15267,15267,15267
,Study permit holders only,,2021-01-01QQ3,Manitoba,Q3,,01-01-2021,,12723,12723,12723
,Work and study permit holders,,2021-01-01QQ3,Manitoba,Q3,,01-01-2021,,4886,4886,4886
,Other,,2021-01-01QQ3,Manitoba,Q3,,01-01-2021,,995,995,995
,"Total, non-permanent residents",,2021-01-01QQ3,Saskatchewan,Q3,,01-01-2021,,19020,19020,19020
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ3,Saskatchewan,Q3,,01-01-2021,,230,230,230
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ3,Saskatchewan,Q3,,01-01-2021,,126,126,126
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ3,Saskatchewan,Q3,,01-01-2021,,1,1,1
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ3,Saskatchewan,Q3,,01-01-2021,,13,13,13
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ3,Saskatchewan,Q3,,01-01-2021,,90,90,90
,"Total, permit holders and their family members",,2021-01-01QQ3,Saskatchewan,Q3,,01-01-2021,,18790,18790,18790
,Work permit holders only,,2021-01-01QQ3,Saskatchewan,Q3,,01-01-2021,,8703,8703,8703
,Study permit holders only,,2021-01-01QQ3,Saskatchewan,Q3,,01-01-2021,,7077,7077,7077
,Work and study permit holders,,2021-01-01QQ3,Saskatchewan,Q3,,01-01-2021,,2118,2118,2118
,Other,,2021-01-01QQ3,Saskatchewan,Q3,,01-01-2021,,892,892,892
,"Total, non-permanent residents",,2021-01-01QQ3,Yukon,Q3,,01-01-2021,,1008,1008,1008
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ3,Yukon,Q3,,01-01-2021,,5,5,5
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ3,Yukon,Q3,,01-01-2021,,2,2,2
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ3,Yukon,Q3,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ3,Yukon,Q3,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ3,Yukon,Q3,,01-01-2021,,3,3,3
,"Total, permit holders and their family members",,2021-01-01QQ3,Yukon,Q3,,01-01-2021,,1003,1003,1003
,Work permit holders only,,2021-01-01QQ3,Yukon,Q3,,01-01-2021,,784,784,784
,Study permit holders only,,2021-01-01QQ3,Yukon,Q3,,01-01-2021,,146,146,146
