Ending Value,Non-permanent resident types,Non-PR greater than 52000,Period,Province,Quarters,Start Value,Years,Increase in Permit Holders,Max_NonPR_Type,Total Work Permit Holders,Values
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ1,Alberta,Q1,,01-01-2023,,114093,114093,114093
,Work permit holders only,Work permit holders only,2023-01-01QQ1,Alberta,Q1,,01-01-2023,,64510,64510,64510
,Study permit holders only,,2023-01-01QQ1,Alberta,Q1,,01-01-2023,,35661,35661,35661
,Work and study permit holders,,2023-01-01QQ1,Alberta,Q1,,01-01-2023,,8167,8167,8167
,Other,,2023-01-01QQ1,Alberta,Q1,,01-01-2023,,5755,5755,5755
,"Total, non-permanent residents",,2023-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2023,,11333,11333,11333
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2023,,66,66,66
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2023,,32,32,32
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2023,,2,2,2
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2023,,8,8,8
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2023,,24,24,24
,"Total, permit holders and their family members",,2023-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2023,,11267,11267,11267
,Work permit holders only,,2023-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2023,,4585,4585,4585
,Study permit holders only,,2023-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2023,,5295,5295,5295
,Work and study permit holders,,2023-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2023,,917,917,917
,Other,,2023-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2023,,470,470,470
,"Total, non-permanent residents",,2023-01-01QQ1,Prince Edward Island,Q1,,01-01-2023,,9163,9163,9163
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ1,Prince Edward Island,Q1,,01-01-2023,,20,20,20
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ1,Prince Edward Island,Q1,,01-01-2023,,13,13,13
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ1,Prince Edward Island,Q1,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ1,Prince Edward Island,Q1,,01-01-2023,,1,1,1
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ1,Prince Edward Island,Q1,,01-01-2023,,6,6,6
,"Total, permit holders and their family members",,2023-01-01QQ1,Prince Edward Island,Q1,,01-01-2023,,9143,9143,9143
,Work permit holders only,,2023-01-01QQ1,Prince Edward Island,Q1,,01-01-2023,,4431,4431,4431
,Study permit holders only,,2023-01-01QQ1,Prince Edward Island,Q1,,01-01-2023,,3839,3839,3839
,Work and study permit holders,,2023-01-01QQ1,Prince Edward Island,Q1,,01-01-2023,,609,609,609
,Other,,2023-01-01QQ1,Prince Edward Island,Q1,,01-01-2023,,264,264,264
,"Total, non-permanent residents",,2023-01-01QQ1,Nova Scotia,Q1,,01-01-2023,,37584,37584,37584
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ1,Nova Scotia,Q1,,01-01-2023,,303,303,303
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ1,Nova Scotia,Q1,,01-01-2023,,173,173,173
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ1,Nova Scotia,Q1,,01-01-2023,,5,5,5
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ1,Nova Scotia,Q1,,01-01-2023,,21,21,21
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ1,Nova Scotia,Q1,,01-01-2023,,104,104,104
,"Total, permit holders and their family members",,2023-01-01QQ1,Nova Scotia,Q1,,01-01-2023,,37281,37281,37281
,Work permit holders only,,2023-01-01QQ1,Nova Scotia,Q1,,01-01-2023,,15228,15228,15228
,Study permit holders only,,2023-01-01QQ1,Nova Scotia,Q1,,01-01-2023,,13693,13693,13693
,Work and study permit holders,,2023-01-01QQ1,Nova Scotia,Q1,,01-01-2023,,6675,6675,6675
,Other,,2023-01-01QQ1,Nova Scotia,Q1,,01-01-2023,,1685,1685,1685
,"Total, non-permanent residents",,2023-01-01QQ1,New Brunswick,Q1,,01-01-2023,,22471,22471,22471
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ1,New Brunswick,Q1,,01-01-2023,,162,162,162
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ1,New Brunswick,Q1,,01-01-2023,,89,89,89
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ1,New Brunswick,Q1,,01-01-2023,,9,9,9
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ1,New Brunswick,Q1,,01-01-2023,,2,2,2
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ1,New Brunswick,Q1,,01-01-2023,,62,62,62
,"Total, permit holders and their family members",,2023-01-01QQ1,New Brunswick,Q1,,01-01-2023,,22309,22309,22309
,Work permit holders only,,2023-01-01QQ1,New Brunswick,Q1,,01-01-2023,,9860,9860,9860
,Study permit holders only,,2023-01-01QQ1,New Brunswick,Q1,,01-01-2023,,7529,7529,7529
,Work and study permit holders,,2023-01-01QQ1,New Brunswick,Q1,,01-01-2023,,3903,3903,3903
,Other,,2023-01-01QQ1,New Brunswick,Q1,,01-01-2023,,1017,1017,1017
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ1,Quebec,Q1,,01-01-2023,,386003,386003,386003
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2023-01-01QQ1,Quebec,Q1,,01-01-2023,,123636,123636,123636
,"Asylum claimants, protected persons and related groups with work permit only","Asylum claimants, protected persons and related groups with work permit only",2023-01-01QQ1,Quebec,Q1,,01-01-2023,,57622,57622,57622
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ1,Quebec,Q1,,01-01-2023,,389,389,389
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ1,Quebec,Q1,,01-01-2023,,1660,1660,1660
,"Asylum claimants, protected persons and related groups without work or study permits","Asylum claimants, protected persons and related groups without work or study permits",2023-01-01QQ1,Quebec,Q1,,01-01-2023,,63965,63965,63965
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ1,Quebec,Q1,,01-01-2023,,262367,262367,262367
,Work permit holders only,Work permit holders only,2023-01-01QQ1,Quebec,Q1,,01-01-2023,,146114,146114,146114
,Study permit holders only,Study permit holders only,2023-01-01QQ1,Quebec,Q1,,01-01-2023,,65810,65810,65810
,Work and study permit holders,,2023-01-01QQ1,Quebec,Q1,,01-01-2023,,34165,34165,34165
,Other,,2023-01-01QQ1,Quebec,Q1,,01-01-2023,,16278,16278,16278
,"Total, non-permanent residents",,2023-01-01QQ1,Manitoba,Q1,,01-01-2023,,50179,50179,50179
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ1,Manitoba,Q1,,01-01-2023,,1462,1462,1462
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ1,Manitoba,Q1,,01-01-2023,,923,923,923
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ1,Manitoba,Q1,,01-01-2023,,10,10,10
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ1,Manitoba,Q1,,01-01-2023,,35,35,35
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ1,Manitoba,Q1,,01-01-2023,,494,494,494
,"Total, permit holders and their family members",,2023-01-01QQ1,Manitoba,Q1,,01-01-2023,,48717,48717,48717
,Work permit holders only,,2023-01-01QQ1,Manitoba,Q1,,01-01-2023,,24362,24362,24362
,Study permit holders only,,2023-01-01QQ1,Manitoba,Q1,,01-01-2023,,17313,17313,17313
,Work and study permit holders,,2023-01-01QQ1,Manitoba,Q1,,01-01-2023,,5549,5549,5549
,Other,,2023-01-01QQ1,Manitoba,Q1,,01-01-2023,,1493,1493,1493
,"Total, non-permanent residents",,2023-01-01QQ1,Saskatchewan,Q1,,01-01-2023,,27217,27217,27217
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ1,Saskatchewan,Q1,,01-01-2023,,223,223,223
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ1,Saskatchewan,Q1,,01-01-2023,,109,109,109
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ1,Saskatchewan,Q1,,01-01-2023,,4,4,4
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ1,Saskatchewan,Q1,,01-01-2023,,8,8,8
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ1,Saskatchewan,Q1,,01-01-2023,,102,102,102
,"Total, permit holders and their family members",,2023-01-01QQ1,Saskatchewan,Q1,,01-01-2023,,26994,26994,26994
,Work permit holders only,,2023-01-01QQ1,Saskatchewan,Q1,,01-01-2023,,12802,12802,12802
,Study permit holders only,,2023-01-01QQ1,Saskatchewan,Q1,,01-01-2023,,10530,10530,10530
,Work and study permit holders,,2023-01-01QQ1,Saskatchewan,Q1,,01-01-2023,,2370,2370,2370
,Other,,2023-01-01QQ1,Saskatchewan,Q1,,01-01-2023,,1292,1292,1292
,"Total, non-permanent residents",,2023-01-01QQ1,Yukon,Q1,,01-01-2023,,1292,1292,1292
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ1,Yukon,Q1,,01-01-2023,,1,1,1
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ1,Yukon,Q1,,01-01-2023,,1,1,1
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ1,Yukon,Q1,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ1,Yukon,Q1,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ1,Yukon,Q1,,01-01-2023,,0,0,0
,"Total, permit holders and their family members",,2023-01-01QQ1,Yukon,Q1,,01-01-2023,,1291,1291,1291
,Work permit holders only,,2023-01-01QQ1,Yukon,Q1,,01-01-2023,,998,998,998
,Study permit holders only,,2023-01-01QQ1,Yukon,Q1,,01-01-2023,,226,226,226
,Work and study permit holders,,2023-01-01QQ1,Yukon,Q1,,01-01-2023,,41,41,41
,Other,,2023-01-01QQ1,Yukon,Q1,,01-01-2023,,26,26,26
,"Total, non-permanent residents",,2023-01-01QQ1,Northwest Territories,Q1,,01-01-2023,,465,465,465
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ1,Northwest Territories,Q1,,01-01-2023,,3,3,3
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ1,Northwest Territories,Q1,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ1,Northwest Territories,Q1,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ1,Northwest Territories,Q1,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ1,Northwest Territories,Q1,,01-01-2023,,3,3,3
,"Total, permit holders and their family members",,2023-01-01QQ1,Northwest Territories,Q1,,01-01-2023,,462,462,462
,Work permit holders only,,2023-01-01QQ1,Northwest Territories,Q1,,01-01-2023,,405,405,405
,Study permit holders only,,2023-01-01QQ1,Northwest Territories,Q1,,01-01-2023,,35,35,35
,Work and study permit holders,,2023-01-01QQ1,Northwest Territories,Q1,,01-01-2023,,10,10,10
,Other,,2023-01-01QQ1,Northwest Territories,Q1,,01-01-2023,,12,12,12
,"Total, non-permanent residents",,2023-01-01QQ1,Nunavat,Q1,,01-01-2023,,83,83,83
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ1,Nunavat,Q1,,01-01-2023,,4,4,4
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ1,Nunavat,Q1,,01-01-2023,,4,4,4
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ1,Nunavat,Q1,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ1,Nunavat,Q1,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ1,Nunavat,Q1,,01-01-2023,,0,0,0
,"Total, permit holders and their family members",,2023-01-01QQ1,Nunavat,Q1,,01-01-2023,,79,79,79
,Work permit holders only,,2023-01-01QQ1,Nunavat,Q1,,01-01-2023,,63,63,63
,Study permit holders only,,2023-01-01QQ1,Nunavat,Q1,,01-01-2023,,7,7,7
,Work and study permit holders,,2023-01-01QQ1,Nunavat,Q1,,01-01-2023,,3,3,3
,Other,,2023-01-01QQ1,Nunavat,Q1,,01-01-2023,,6,6,6
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ2,Ontario,Q2,,01-01-2023,,880511,880511,880511
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2023-01-01QQ2,Ontario,Q2,,01-01-2023,,81753,81753,81753
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ2,Ontario,Q2,,01-01-2023,,44136,44136,44136
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ2,Ontario,Q2,,01-01-2023,,989,989,989
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ2,Ontario,Q2,,01-01-2023,,2888,2888,2888
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ2,Ontario,Q2,,01-01-2023,,33740,33740,33740
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ2,Ontario,Q2,,01-01-2023,,798758,798758,798758
,Work permit holders only,Work permit holders only,2023-01-01QQ2,Ontario,Q2,,01-01-2023,,362034,362034,362034
,Study permit holders only,Study permit holders only,2023-01-01QQ2,Ontario,Q2,,01-01-2023,,270170,270170,270170
,Work and study permit holders,Work and study permit holders,2023-01-01QQ2,Ontario,Q2,,01-01-2023,,138086,138086,138086
,Other,,2023-01-01QQ2,Ontario,Q2,,01-01-2023,,28468,28468,28468
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ2,British Columbia,Q2,,01-01-2023,,363657,363657,363657
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ2,British Columbia,Q2,,01-01-2023,,10399,10399,10399
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ2,British Columbia,Q2,,01-01-2023,,6424,6424,6424
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ2,British Columbia,Q2,,01-01-2023,,155,155,155
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ2,British Columbia,Q2,,01-01-2023,,411,411,411
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ2,British Columbia,Q2,,01-01-2023,,3409,3409,3409
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ2,British Columbia,Q2,,01-01-2023,,353258,353258,353258
,Work permit holders only,Work permit holders only,2023-01-01QQ2,British Columbia,Q2,,01-01-2023,,171955,171955,171955
,Study permit holders only,Study permit holders only,2023-01-01QQ2,British Columbia,Q2,,01-01-2023,,132383,132383,132383
,Work and study permit holders,,2023-01-01QQ2,British Columbia,Q2,,01-01-2023,,34498,34498,34498
,Other,,2023-01-01QQ2,British Columbia,Q2,,01-01-2023,,14422,14422,14422
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ2,Alberta,Q2,,01-01-2023,,132584,132584,132584
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ2,Alberta,Q2,,01-01-2023,,5076,5076,5076
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ2,Alberta,Q2,,01-01-2023,,2911,2911,2911
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ2,Alberta,Q2,,01-01-2023,,44,44,44
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ2,Alberta,Q2,,01-01-2023,,158,158,158
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ2,Alberta,Q2,,01-01-2023,,1963,1963,1963
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ2,Alberta,Q2,,01-01-2023,,127508,127508,127508
,Work permit holders only,Work permit holders only,2023-01-01QQ2,Alberta,Q2,,01-01-2023,,76301,76301,76301
,Study permit holders only,,2023-01-01QQ2,Alberta,Q2,,01-01-2023,,35296,35296,35296
,Work and study permit holders,,2023-01-01QQ2,Alberta,Q2,,01-01-2023,,9428,9428,9428
,Other,,2023-01-01QQ2,Alberta,Q2,,01-01-2023,,6483,6483,6483
,"Total, non-permanent residents",,2023-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2023,,11406,11406,11406
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2023,,61,61,61
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2023,,38,38,38
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2023,,9,9,9
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2023,,14,14,14
,"Total, permit holders and their family members",,2023-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2023,,11345,11345,11345
,Work permit holders only,,2023-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2023,,4781,4781,4781
,Study permit holders only,,2023-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2023,,5056,5056,5056
,Work and study permit holders,,2023-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2023,,1025,1025,1025
,Other,,2023-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2023,,483,483,483
,"Total, non-permanent residents",,2023-01-01QQ2,Prince Edward Island,Q2,,01-01-2023,,9093,9093,9093
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ2,Prince Edward Island,Q2,,01-01-2023,,20,20,20
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ2,Prince Edward Island,Q2,,01-01-2023,,12,12,12
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ2,Prince Edward Island,Q2,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ2,Prince Edward Island,Q2,,01-01-2023,,3,3,3
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ2,Prince Edward Island,Q2,,01-01-2023,,5,5,5
,"Total, permit holders and their family members",,2023-01-01QQ2,Prince Edward Island,Q2,,01-01-2023,,9073,9073,9073
,Work permit holders only,,2023-01-01QQ2,Prince Edward Island,Q2,,01-01-2023,,4369,4369,4369
,Study permit holders only,,2023-01-01QQ2,Prince Edward Island,Q2,,01-01-2023,,3796,3796,3796
,Work and study permit holders,,2023-01-01QQ2,Prince Edward Island,Q2,,01-01-2023,,648,648,648
,Other,,2023-01-01QQ2,Prince Edward Island,Q2,,01-01-2023,,260,260,260
,"Total, non-permanent residents",,2023-01-01QQ2,Nova Scotia,Q2,,01-01-2023,,39617,39617,39617
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ2,Nova Scotia,Q2,,01-01-2023,,302,302,302
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ2,Nova Scotia,Q2,,01-01-2023,,171,171,171
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ2,Nova Scotia,Q2,,01-01-2023,,12,12,12
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ2,Nova Scotia,Q2,,01-01-2023,,22,22,22
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ2,Nova Scotia,Q2,,01-01-2023,,97,97,97
,"Total, permit holders and their family members",,2023-01-01QQ2,Nova Scotia,Q2,,01-01-2023,,39315,39315,39315
,Work permit holders only,,2023-01-01QQ2,Nova Scotia,Q2,,01-01-2023,,16563,16563,16563
,Study permit holders only,,2023-01-01QQ2,Nova Scotia,Q2,,01-01-2023,,13433,13433,13433
,Work and study permit holders,,2023-01-01QQ2,Nova Scotia,Q2,,01-01-2023,,7514,7514,7514
,Other,,2023-01-01QQ2,Nova Scotia,Q2,,01-01-2023,,1805,1805,1805
,"Total, non-permanent residents",,2023-01-01QQ2,New Brunswick,Q2,,01-01-2023,,24005,24005,24005
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ2,New Brunswick,Q2,,01-01-2023,,168,168,168
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ2,New Brunswick,Q2,,01-01-2023,,88,88,88
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ2,New Brunswick,Q2,,01-01-2023,,4,4,4
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ2,New Brunswick,Q2,,01-01-2023,,7,7,7
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ2,New Brunswick,Q2,,01-01-2023,,69,69,69
,"Total, permit holders and their family members",,2023-01-01QQ2,New Brunswick,Q2,,01-01-2023,,23837,23837,23837
,Work permit holders only,,2023-01-01QQ2,New Brunswick,Q2,,01-01-2023,,10954,10954,10954
,Study permit holders only,,2023-01-01QQ2,New Brunswick,Q2,,01-01-2023,,7351,7351,7351
,Work and study permit holders,,2023-01-01QQ2,New Brunswick,Q2,,01-01-2023,,4440,4440,4440
,Other,,2023-01-01QQ2,New Brunswick,Q2,,01-01-2023,,1092,1092,1092
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ2,Quebec,Q2,,01-01-2023,,421149,421149,421149
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2023-01-01QQ2,Quebec,Q2,,01-01-2023,,138768,138768,138768
,"Asylum claimants, protected persons and related groups with work permit only","Asylum claimants, protected persons and related groups with work permit only",2023-01-01QQ2,Quebec,Q2,,01-01-2023,,69604,69604,69604
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ2,Quebec,Q2,,01-01-2023,,382,382,382
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ2,Quebec,Q2,,01-01-2023,,1916,1916,1916
,"Asylum claimants, protected persons and related groups without work or study permits","Asylum claimants, protected persons and related groups without work or study permits",2023-01-01QQ2,Quebec,Q2,,01-01-2023,,66866,66866,66866
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ2,Quebec,Q2,,01-01-2023,,282381,282381,282381
,Work permit holders only,Work permit holders only,2023-01-01QQ2,Quebec,Q2,,01-01-2023,,163844,163844,163844
,Study permit holders only,Study permit holders only,2023-01-01QQ2,Quebec,Q2,,01-01-2023,,64415,64415,64415
,Work and study permit holders,,2023-01-01QQ2,Quebec,Q2,,01-01-2023,,36299,36299,36299
,Other,,2023-01-01QQ2,Quebec,Q2,,01-01-2023,,17823,17823,17823
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ2,Manitoba,Q2,,01-01-2023,,53865,53865,53865
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ2,Manitoba,Q2,,01-01-2023,,1413,1413,1413
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ2,Manitoba,Q2,,01-01-2023,,902,902,902
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ2,Manitoba,Q2,,01-01-2023,,12,12,12
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ2,Manitoba,Q2,,01-01-2023,,27,27,27
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ2,Manitoba,Q2,,01-01-2023,,472,472,472
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ2,Manitoba,Q2,,01-01-2023,,52452,52452,52452
,Work permit holders only,,2023-01-01QQ2,Manitoba,Q2,,01-01-2023,,27740,27740,27740
,Study permit holders only,,2023-01-01QQ2,Manitoba,Q2,,01-01-2023,,17048,17048,17048
,Work and study permit holders,,2023-01-01QQ2,Manitoba,Q2,,01-01-2023,,6034,6034,6034
,Other,,2023-01-01QQ2,Manitoba,Q2,,01-01-2023,,1630,1630,1630
,"Total, non-permanent residents",,2023-01-01QQ2,Saskatchewan,Q2,,01-01-2023,,27633,27633,27633
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ2,Saskatchewan,Q2,,01-01-2023,,223,223,223
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ2,Saskatchewan,Q2,,01-01-2023,,108,108,108
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ2,Saskatchewan,Q2,,01-01-2023,,3,3,3
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ2,Saskatchewan,Q2,,01-01-2023,,10,10,10
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ2,Saskatchewan,Q2,,01-01-2023,,102,102,102
,"Total, permit holders and their family members",,2023-01-01QQ2,Saskatchewan,Q2,,01-01-2023,,27410,27410,27410
,Work permit holders only,,2023-01-01QQ2,Saskatchewan,Q2,,01-01-2023,,13249,13249,13249
,Study permit holders only,,2023-01-01QQ2,Saskatchewan,Q2,,01-01-2023,,10223,10223,10223
,Work and study permit holders,,2023-01-01QQ2,Saskatchewan,Q2,,01-01-2023,,2619,2619,2619
,Other,,2023-01-01QQ2,Saskatchewan,Q2,,01-01-2023,,1319,1319,1319
,"Total, non-permanent residents",,2023-01-01QQ2,Yukon,Q2,,01-01-2023,,1225,1225,1225
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ2,Yukon,Q2,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ2,Yukon,Q2,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ2,Yukon,Q2,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ2,Yukon,Q2,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ2,Yukon,Q2,,01-01-2023,,0,0,0
,"Total, permit holders and their family members",,2023-01-01QQ2,Yukon,Q2,,01-01-2023,,1225,1225,1225
,Work permit holders only,,2023-01-01QQ2,Yukon,Q2,,01-01-2023,,940,940,940
,Study permit holders only,,2023-01-01QQ2,Yukon,Q2,,01-01-2023,,215,215,215
,Work and study permit holders,,2023-01-01QQ2,Yukon,Q2,,01-01-2023,,45,45,45
,Other,,2023-01-01QQ2,Yukon,Q2,,01-01-2023,,25,25,25
,"Total, non-permanent residents",,2023-01-01QQ2,Northwest Territories,Q2,,01-01-2023,,470,470,470
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ2,Northwest Territories,Q2,,01-01-2023,,3,3,3
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ2,Northwest Territories,Q2,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ2,Northwest Territories,Q2,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ2,Northwest Territories,Q2,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ2,Northwest Territories,Q2,,01-01-2023,,3,3,3
